County,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American Indian ,Other,Hispanic,Male,Female,Total
ALAMANCE,"38,862","33,751",10,13,534,"31,013","73,263","21,614",267,"9,039","3,518","45,504","55,611","104,183"
ALEXANDER,"6,057","10,973",0,3,91,"7,503","22,612","1,008",37,970,278,"11,671","12,526","24,627"
ALLEGHANY,"2,583","2,668",1,0,34,"2,209","7,052",77,11,355,179,"3,507","3,823","7,495"
ANSON,"11,553","2,541",3,25,25,"3,334","7,398","7,578",35,"2,470",70,"6,981","8,290","17,481"
ASHE,"5,287","8,277",2,1,72,"5,733","18,672",113,19,568,196,"9,080","10,080","19,372"
AVERY,"1,469","7,090",1,0,51,"3,565","11,596",85,24,471,95,"5,614","6,370","12,176"
BEAUFORT,"13,275","11,030",2,6,88,"9,353","23,655","8,303",48,"1,748",396,"14,974","17,623","33,754"
BERTIE,"10,033","1,551",1,0,27,"2,596","4,969","8,644",21,574,35,"6,155","7,669","14,208"
BLADEN,"12,506","4,170",1,2,41,"6,614","13,479","8,567",448,840,381,"10,656","12,481","23,334"
BRUNSWICK,"27,659","39,341",8,10,414,"37,044","88,790","9,107",308,"6,271","1,171","46,849","54,103","104,476"
BUNCOMBE,"76,558","46,570",85,11,"1,499","75,231","172,350","11,113",410,"16,081","3,512","88,969","104,297","199,954"
BURKE,"17,986","21,136",8,8,283,"19,385","51,995","3,501",93,"3,217",825,"27,476","30,735","58,806"
CABARRUS,"42,597","50,129",25,20,842,"46,190","99,974","25,655",373,"13,801","4,904","62,077","73,135","139,803"
CALDWELL,"13,824","25,082",6,14,367,"16,013","50,252","2,900",72,"2,082",789,"26,136","28,628","55,306"
CAMDEN,"2,188","2,529",0,1,52,"3,210","6,533","1,104",12,331,37,"3,843","4,030","7,980"
CARTERET,"11,936","22,813",2,1,260,"18,387","47,981","2,690",101,"2,627",496,"24,291","27,428","53,399"
CASWELL,"7,862","3,421",0,2,36,"4,571","9,862","5,351",21,658,145,"7,208","8,368","15,892"
CATAWBA,"25,341","45,319",4,10,431,"35,177","88,367","9,469",141,"8,305","2,878","48,746","55,554","106,282"
CHATHAM,"21,121","13,301",14,9,245,"19,920","42,354","6,472",113,"5,671","1,574","23,681","27,784","54,610"
CHEROKEE,"5,493","10,222",4,3,130,"7,703","22,654",258,141,502,179,"11,102","12,384","23,555"
CHOWAN,"4,812","2,698",1,1,24,"2,879","6,788","3,237",12,378,50,"4,613","5,673","10,415"
